わたし,I
たんじょうび,birthday
つぎ,next
そうですね,That's right/Well let me see… (used while thinking or agreeing)
どうもありがとうございます,Thank you very much (polite stronger expression of thanks)
どういたしまして,You're welcome (reply after being thanked)
〜ばんせん,platform number (train or bus platform)
ふつう,local train (stops at all stations)
きゅうこう,rapid train (stops at fewer stations)
とっきゅう,express train (faster/fewer stops)
たべます,eat
のみます,drink
すいます,smoke (cigarette)
たばこをすいます,smoke a cigarette
みます,see/watch/look at
ききます,listen/hear/to ask (depends on context)
よみます,read
かきます,write/draw
かいます,buy
とります,take something/pick up
しゃしんをとります,take a photograph
します,do/play
あいます,meet
ともだちにあいます,meet a friend
ごはん,meal/cooked rice
あさごはん,breakfast
ひるごはん,lunch
ばんごはん,dinner
パン,bread
たまご,egg
にく,meat
さかな,fish
やさい,vegetables
くだもの,fruit
みず,water
おちゃ,green tea
こうちゃ,black tea
ぎゅうにゅう,milk (cow's milk)
ミルク,milk (powdered milk/ baby formula)
ジュース,juice
ビール,beer
おさけ,alcohol/rice wine (general)
たばこ,cigarette/tobacco
てがみ,letter
レポート,report
しゃしん,photograph
ビデオ,video tape/video recording/video deck
みせ,shop/store
にわ,garden
しゅくだい,homework
テニス,tennis
サッカー,soccer/football
ジム,gym
ダンベル,dumbbell
フェスティバル,festival
サラダ,salad
カーテン,curtain
インフォメーション,information
はなみ,cherry blossom viewing
いっしょに,together
ちょっと,a little while/a little/a bit
いつも,always/usually
ときどき,sometimes
それから,after that/and then (used to continue sequence)
ええ,yes (casual affirmation or soft response)
いいですね,that's good/sounds nice (used for agreement)
わかりました,I understand (polite response after explanation)
なんですか,Yes?/What is it? (polite question form)
じゃあまたあした,Well then see you tomorrow (casual goodbye expression)
きります,cut/slice
おくります,send
あげます,give
もらいます,receive
かします,lend
かります,borrow
おしえます,teach/tell (give information or instruction)
ならいます,learn (from someone)
かけます,make (telephone call)
でんわをかけます,make a telephone call
て,hand/arm
はし,chopsticks (箸)
スプーン,spoon
ナイフ,knife
フォーク,fork
はさみ,scissors
パソコン,personal computer
けいたいでんわ,mobile phone
メール,e-mail
ねんがじょう,New Year's greeting card
パンチ,hole puncher (office stationery tool)
ホッチキス,stapler (office stationery tool)
セロテープ,clear tape/sellotape tape/scotch tape
けしゴム,eraser/rubber
かみ,paper (紙)
はな,flower/blossom
シャツ,shirt
プレゼント,gift/present
にもつ,luggage/baggage/parcel
おかね,money
きっぷ,ticket (train/ bus/ etc.)
クリスマス,Christmas
ちち,father (my own)
はは,mother (my own)
おとうさん,father (someone else's)
おかあさん,mother (someone else's)
もう,already
まだ,not yet
これから,from now on/soon (starting from now)
〜すてきですね,what a nice~/how lovely~ (used to praise something)
いらっしゃい,Welcome/Come in/How nice of you to come (casual greeting by host or shop)
どうぞおあがりください,Do come in/Please come in (polite invitation into home)
しつれいします,May I/Excuse me (used when entering or leaving or interrupting politely)
〜いかがですか,Won't you have ~?/How about ~? (politely offering something)
